Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Note,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,35-44 years,55,38,0,,,0,,0,,,,,,0,0,09/03/2020,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,45-54 years,68,53,,,,0,,,0,0,0,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,5-14 years,,,0,0,0,0,0,0,0,0,0,0,0,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,55-64 years,129,119,,29,10,0,,,,,,23,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,65-74 years,149,143,,37,13,,,,,,0,30,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,75-84 years,148,140,,28,,,,,,,,34,12,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,85 years and over,150,143,,,,19,,,,,,45,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic Asian,0-4 years,24,23,0,0,0,0,,0,0,0,,,0,0,0,09/03/2020,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,1,Female (F),Non-Hispanic Asian,15-24 years,13,,0,,0,0,,0,0,0,,0,,0,0,09/03/2020,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic Asian,25-34 years,32,22,0,10,,0,0,,,0,0,,0,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2019,1,Female (F),Non-Hispanic Asian,35-44 years,64,51,,27,,0,,0,,0,,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic Asian,45-54 years,108,92,,46,,0,,,,0,0,13,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic Asian,5-14 years,,,0,,0,0,,0,0,0,0,0,0,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
2019,1,Female (F),Non-Hispanic Asian,55-64 years,258,239,,122,,,,,,,,30,13,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Female (F),Non-Hispanic Asian,65-74 years,450,437,,159,28,,,,10,,,83,37,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Female (F),Non-Hispanic Asian,75-84 years,743,722,10,167,50,29,25,17,19,26,,157,76,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,1,Female (F),Non-Hispanic Asian,85 years and over,1342,1302,24,156,55,135,46,45,25,27,10,334,116,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic Black,0-4 years,262,233,,,0,0,,,,0,34,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic Black,15-24 years,140,65,,11,,0,,0,,0,,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic Black,25-34 years,305,192,,28,12,0,,,,,11,31,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic Black,35-44 years,532,426,19,104,24,0,,,12,,,91,12,0,0,09/03/2020,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Female (F),Non-Hispanic Black,45-54 years,1131,1018,28,290,61,,26,27,11,30,12,227,55,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,Female (F),Non-Hispanic Black,5-14 years,44,27,,,,0,0,,,0,,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic Black,55-64 years,2473,2328,52,704,140,,37,105,45,72,27,551,140,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,Female (F),Non-Hispanic Black,65-74 years,3049,2962,66,795,170,44,61,141,46,98,22,766,191,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic Black,75-84 years,3277,3214,73,626,153,163,71,137,64,103,34,818,259,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic Black,85 years and over,3725,3687,61,359,126,399,73,114,35,117,44,1072,328,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic White,0-4 years,335,287,,,0,0,,,,0,29,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic White,15-24 years,338,140,,31,,0,,,,,,19,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic White,25-34 years,831,344,,76,12,0,12,,,,12,41,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic White,35-44 years,1580,1045,17,321,33,0,33,18,10,,19,154,33,0,0,09/03/2020,,,,,,,,,,,Suppressed (counts 1-9),,,,,
2019,1,Female (F),Non-Hispanic White,45-54 years,3577,2950,55,1054,109,,72,157,50,51,36,494,100,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,Female (F),Non-Hispanic White,5-14 years,96,58,,14,0,0,0,0,0,0,,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Non-Hispanic White,55-64 years,9381,8729,170,3299,314,52,191,727,134,111,72,1537,279,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic White,65-74 years,16075,15527,275,5157,543,336,330,1653,329,304,114,2862,627,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic White,75-84 years,24187,23553,368,5216,583,1541,488,2403,452,427,230,5043,1491,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Non-Hispanic White,85 years and over,41559,40334,484,3898,649,4293,1143,2281,596,645,666,11505,3293,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Female (F),Other,0-4 years,37,30,,0,0,0,0,,0,0,,0,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,
2019,1,Female (F),Other,15-24 years,17,,0,0,0,0,0,0,0,0,,0,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,,,,,,,,Suppressed (counts 1-9),,,,
2019,1,Female (F),Other,25-34 years,28,15,0,,,0,0,0,0,0,0,,,0,0,09/03/2020,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Other,35-44 years,35,25,0,,,0,0,,0,0,,,0,0,0,09/03/2020,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,1,Female (F),Other,45-54 years,87,75,0,20,,0,,,,,0,17,,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Female (F),Other,5-14 years,,,0,,0,0,0,0,0,0,0,,,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Female (F),Other,55-64 years,149,132,,50,,,,,,,,19,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Female (F),Other,65-74 years,169,161,,52,,,,17,,,0,31,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Female (F),Other,75-84 years,162,159,,35,,,,15,,,,31,12,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Female (F),Other,85 years and over,203,196,0,14,,18,,12,,,0,53,23,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,1,Male (M),Hispanic,0-4 years,262,237,,,0,0,,0,,0,25,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Male (M),Hispanic,15-24 years,340,67,0,14,,0,,,,,,,,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Male (M),Hispanic,25-34 years,552,195,,33,,0,10,,,,13,28,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Male (M),Hispanic,35-44 years,637,386,,70,22,0,18,,,,16,70,17,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,1,Male (M),Hispanic,45-54 years,1150,897,12,189,70,,39,11,10,24,14,181,53,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,Male (M),Hispanic,5-14 years,54,27,0,12,,0,,0,,0,0,0,0,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
2019,1,Male (M),Hispanic,55-64 years,1805,1617,29,403,117,,51,29,23,49,20,402,68,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,Male (M),Hispanic,65-74 years,2007,1919,33,545,140,15,53,52,42,65,,495,111,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,1,Male (M),Hispanic,75-84 years,1980,1919,29,434,120,81,63,103,48,56,10,481,131,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Male (M),Hispanic,85 years and over,1799,1750,19,257,81,128,54,94,27,41,10,537,139,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,0-4 years,22,20,0,0,0,0,,0,0,0,,0,,0,0,09/03/2020,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,15-24 years,22,,0,0,0,0,,0,,0,0,,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,25-34 years,55,23,,,,0,,0,0,0,0,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,35-44 years,73,35,,,,0,,0,0,,,,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,45-54 years,125,88,,11,12,0,,,,,,18,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,5-14 years,,,0,,0,0,0,0,0,0,0,0,0,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,,,,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,55-64 years,170,151,,33,12,0,,,,,,38,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,65-74 years,187,174,,41,17,0,,15,,0,,40,10,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,75-84 years,147,146,,30,11,,,11,,,0,38,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic American Indian or Alaska Native,85 years and over,75,71,,12,,,0,,,,0,24,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic Asian,0-4 years,45,43,,0,0,0,,0,,0,0,0,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
2019,1,Male (M),Non-Hispanic Asian,15-24 years,48,19,0,,0,0,0,0,0,0,0,,0,0,0,09/03/2020,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,
2019,1,Male (M),Non-Hispanic Asian,25-34 years,65,29,0,,,0,,0,0,0,,,,0,0,09/03/2020,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic Asian,35-44 years,109,65,,13,0,0,,,0,,,18,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic Asian,45-54 years,222,189,,40,18,0,,,,,,54,11,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Male (M),Non-Hispanic Asian,5-14 years,11,,0,,0,0,0,0,0,0,,,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,1,Male (M),Non-Hispanic Asian,55-64 years,488,449,,164,28,0,12,,,,,128,20,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,Male (M),Non-Hispanic Asian,65-74 years,578,546,,195,22,,17,10,,12,,148,36,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,1,Male (M),Non-Hispanic Asian,75-84 years,848,820,13,195,49,26,37,36,14,27,,218,57,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,1,Male (M),Non-Hispanic Asian,85 years and over,879,845,,120,47,47,49,54,,14,10,241,66,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
2019,1,Male (M),Non-Hispanic Black,0-4 years,289,242,,,0,0,,,,0,40,,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2019,1,Male (M),Non-Hispanic Black,15-24 years,401,73,,12,,0,,,0,0,,12,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic Black,25-34 years,650,199,,20,16,0,,,,,,53,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic Black,35-44 years,854,500,,60,40,0,,,,18,13,153,20,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
2019,1,Male (M),Non-Hispanic Black,45-54 years,1542,1235,23,207,88,,24,26,12,39,14,439,62,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,Male (M),Non-Hispanic Black,5-14 years,63,36,0,,0,0,0,,,0,0,0,,0,0,09/03/2020,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic Black,55-64 years,3494,3125,65,761,187,,51,95,38,80,39,997,177,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,Male (M),Non-Hispanic Black,65-74 years,3776,3607,80,1011,200,22,57,158,56,129,27,1051,181,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Male (M),Non-Hispanic Black,75-84 years,2987,2907,64,653,152,81,72,131,34,107,18,824,182,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Male (M),Non-Hispanic Black,85 years and over,1787,1748,22,261,65,109,38,86,14,78,17,522,112,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,1,Male (M),Non-Hispanic White,0-4 years,490,424,,,,0,,,12,,54,11,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic White,15-24 years,849,187,,35,11,0,,0,,,13,19,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,Male (M),Non-Hispanic White,25-34 years,1802,467,12,63,19,0,11,,,,22,105,15,0,0,09/03/2020,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,1,Male (M),Non-Hispanic White,35-44 years,2672,1282,20,242,78,0,32,16,13,17,22,342,26,0,0,09/03/2020,,,,,,,,,,,,,,,,
